RLOO fine-tune: 3000 rows (70% multi-call), k=4
50 updates (46 skipped) loss=3.641 mean_r=0.50 (665s)
100 updates (94 skipped) loss=-1.856 mean_r=0.75 (1359s)
150 updates (131 skipped) loss=0.446 mean_r=0.92 (1985s)
200 updates (201 skipped) loss=-0.271 mean_r=0.88 (2715s)
250 updates (248 skipped) loss=0.499 mean_r=-0.03 (3324s)
300 updates (315 skipped) loss=-1.558 mean_r=0.35 (4105s)
350 updates (380 skipped) loss=0.014 mean_r=0.88 (4835s)
400 updates (460 skipped) loss=-0.962 mean_r=0.31 (5724s)
450 updates (543 skipped) loss=-0.320 mean_r=0.83 (6588s)
500 updates (587 skipped) loss=-0.167 mean_r=0.88 (7186s)
550 updates (622 skipped) loss=0.896 mean_r=0.75 (7746s)
600 updates (686 skipped) loss=0.363 mean_r=0.94 (8540s)
650 updates (745 skipped) loss=-0.202 mean_r=-0.15 (9281s)
700 updates (802 skipped) loss=1.026 mean_r=0.25 (9934s)
750 updates (881 skipped) loss=0.920 mean_r=0.10 (10754s)
800 updates (944 skipped) loss=-1.754 mean_r=0.69 (11463s)
850 updates (1002 skipped) loss=0.721 mean_r=0.67 (12208s)
900 updates (1086 skipped) loss=2.687 mean_r=-0.18 (13044s)
950 updates (1178 skipped) loss=-1.131 mean_r=0.92 (14038s)
1000 updates (1242 skipped) loss=0.460 mean_r=0.25 (14825s)
1050 updates (1312 skipped) loss=4.409 mean_r=0.25 (15544s)
1100 updates (1412 skipped) loss=-0.308 mean_r=0.88 (16487s)
1150 updates (1478 skipped) loss=-5.586 mean_r=0.58 (17212s)
1200 updates (1549 skipped) loss=0.312 mean_r=0.95 (17972s)
1250 updates (1613 skipped) loss=0.010 mean_r=0.70 (18714s)
saved /workspace/tiny-toolcall/checkpoints/v5_mrt.pt  (1291 updates, 1709 skipped)
