=== Tue Aug 18 14:01:04 UTC 2026 v5 main ===
params: 48.12M  device: cuda
dev split: 5000 rows held out, 640323 train
ep0 step20/64704 loss=75.4711 lm=67.3369 name=8.1342 name_acc=0.156 tok/s=52,644
ep0 step40/64704 loss=52.9656 lm=44.7631 name=8.2025 name_acc=0.149 tok/s=58,997
ep0 step60/64704 loss=41.2031 lm=35.1966 name=6.0065 name_acc=0.078 tok/s=61,371
ep0 step80/64704 loss=31.1998 lm=26.5371 name=4.6627 name_acc=0.088 tok/s=62,650
ep0 step100/64704 loss=20.6961 lm=18.6049 name=2.0912 name_acc=0.365 tok/s=63,548
ep0 step120/64704 loss=18.7127 lm=16.9772 name=1.7356 name_acc=0.343 tok/s=64,059
ep0 step140/64704 loss=19.8197 lm=17.4239 name=2.3958 name_acc=0.164 tok/s=64,448
ep0 step160/64704 loss=16.3731 lm=14.6243 name=1.7488 name_acc=0.305 tok/s=64,787
ep0 step180/64704 loss=17.8563 lm=15.9530 name=1.9033 name_acc=0.239 tok/s=65,039
ep0 step200/64704 loss=17.2034 lm=14.7229 name=2.4805 name_acc=0.115 tok/s=65,238
ep0 step220/64704 loss=14.0475 lm=12.6001 name=1.4474 name_acc=0.455 tok/s=65,366
ep0 step240/64704 loss=13.1375 lm=11.4783 name=1.6592 name_acc=0.344 tok/s=65,512
ep0 step260/64704 loss=13.6767 lm=11.7302 name=1.9465 name_acc=0.340 tok/s=65,695
ep0 step280/64704 loss=14.9142 lm=12.5240 name=2.3902 name_acc=0.103 tok/s=65,783
ep0 step300/64704 loss=13.1680 lm=11.2215 name=1.9466 name_acc=0.230 tok/s=65,867
ep0 step320/64704 loss=13.6899 lm=11.2320 name=2.4580 name_acc=0.086 tok/s=65,982
ep0 step340/64704 loss=12.5724 lm=9.9820 name=2.5904 name_acc=0.074 tok/s=66,041
ep0 step360/64704 loss=11.8853 lm=9.8206 name=2.0647 name_acc=0.219 tok/s=66,108
ep0 step380/64704 loss=9.3899 lm=7.9463 name=1.4436 name_acc=0.433 tok/s=66,190
ep0 step400/64704 loss=11.5288 lm=9.0454 name=2.4834 name_acc=0.100 tok/s=66,268
ep0 step420/64704 loss=9.7959 lm=8.5584 name=1.2375 name_acc=0.477 tok/s=66,314
ep0 step440/64704 loss=10.8889 lm=8.4946 name=2.3943 name_acc=0.250 tok/s=66,373
ep0 step460/64704 loss=10.0864 lm=9.2338 name=0.8526 name_acc=0.663 tok/s=66,400
ep0 step480/64704 loss=10.9820 lm=9.5615 name=1.4206 name_acc=0.398 tok/s=66,463
ep0 step500/64704 loss=11.1656 lm=8.9401 name=2.2255 name_acc=0.163 tok/s=66,488
ep0 step520/64704 loss=8.8890 lm=7.9046 name=0.9843 name_acc=0.586 tok/s=66,479
ep0 step540/64704 loss=7.3299 lm=6.1583 name=1.1716 name_acc=0.487 tok/s=66,521
ep0 step560/64704 loss=10.2886 lm=8.1383 name=2.1503 name_acc=0.186 tok/s=66,555
ep0 step580/64704 loss=8.7997 lm=7.5378 name=1.2619 name_acc=0.477 tok/s=66,588
ep0 step600/64704 loss=9.5725 lm=7.9429 name=1.6296 name_acc=0.362 tok/s=66,624
ep0 step620/64704 loss=11.3031 lm=8.9152 name=2.3879 name_acc=0.196 tok/s=66,663
ep0 step640/64704 loss=11.0035 lm=8.6860 name=2.3175 name_acc=0.204 tok/s=66,694
ep0 step660/64704 loss=10.8472 lm=8.3663 name=2.4810 name_acc=0.078 tok/s=66,722
