=== Wed Aug 19 11:26:10 UTC 2026 v6c: continued from v5_mid4, no-warmup, anneal decay ===
warm-started from v5_mid4.pt
params: 48.12M  device: cuda
dev split: 5000 rows held out, 905692 train
anneal pack: 404982 rows, 8536 batches (used for frac >= 0.8)
ep0 step20/46784 loss=0.1637 lm=0.1460 name=0.0176 name_acc=1.000 tok/s=27,763
ep0 step40/46784 loss=0.6730 lm=0.2658 name=0.4072 name_acc=0.900 tok/s=38,689
ep0 step60/46784 loss=0.6558 lm=0.4501 name=0.2058 name_acc=0.909 tok/s=44,504
ep0 step80/46784 loss=0.5956 lm=0.2382 name=0.3574 name_acc=0.907 tok/s=48,103
ep0 step100/46784 loss=0.4407 lm=0.2062 name=0.2346 name_acc=0.885 tok/s=50,593
ep0 step120/46784 loss=0.4358 lm=0.2659 name=0.1699 name_acc=0.930 tok/s=52,526
ep0 step140/46784 loss=0.8181 lm=0.6142 name=0.2038 name_acc=0.945 tok/s=54,083
ep0 step160/46784 loss=0.5832 lm=0.3093 name=0.2739 name_acc=0.934 tok/s=55,499
ep0 step180/46784 loss=0.4801 lm=0.3500 name=0.1302 name_acc=0.929 tok/s=56,606
ep0 step200/46784 loss=0.3252 lm=0.2297 name=0.0955 name_acc=0.948 tok/s=57,548
ep0 step220/46784 loss=0.2241 lm=0.1383 name=0.0858 name_acc=0.983 tok/s=58,358
ep0 step240/46784 loss=0.8847 lm=0.3545 name=0.5302 name_acc=0.810 tok/s=59,024
ep0 step260/46784 loss=1.2193 lm=0.4028 name=0.8165 name_acc=0.818 tok/s=59,553
ep0 step280/46784 loss=0.6480 lm=0.2561 name=0.3919 name_acc=0.881 tok/s=60,036
ep0 step300/46784 loss=0.5009 lm=0.1919 name=0.3091 name_acc=0.929 tok/s=60,478
ep0 step320/46784 loss=0.1951 lm=0.1374 name=0.0578 name_acc=0.988 tok/s=60,883
ep0 step340/46784 loss=0.2849 lm=0.1653 name=0.1196 name_acc=0.972 tok/s=61,237
ep0 step360/46784 loss=0.2536 lm=0.1714 name=0.0822 name_acc=0.964 tok/s=61,555
ep0 step380/46784 loss=0.5180 lm=0.2629 name=0.2551 name_acc=0.910 tok/s=61,819
ep0 step400/46784 loss=0.5205 lm=0.2240 name=0.2965 name_acc=0.916 tok/s=62,061
ep0 step420/46784 loss=0.2352 lm=0.1755 name=0.0597 name_acc=0.988 tok/s=62,297
ep0 step440/46784 loss=0.4827 lm=0.2690 name=0.2137 name_acc=0.948 tok/s=62,494
ep0 step460/46784 loss=0.7470 lm=0.3620 name=0.3851 name_acc=0.848 tok/s=62,658
ep0 step480/46784 loss=0.5945 lm=0.3368 name=0.2576 name_acc=0.914 tok/s=62,823
ep0 step500/46784 loss=0.6328 lm=0.2593 name=0.3735 name_acc=0.891 tok/s=62,980
ep0 step520/46784 loss=0.6452 lm=0.2994 name=0.3457 name_acc=0.921 tok/s=63,074
ep0 step540/46784 loss=0.4314 lm=0.2067 name=0.2248 name_acc=0.924 tok/s=63,219
ep0 step560/46784 loss=0.2286 lm=0.1625 name=0.0661 name_acc=0.978 tok/s=63,359
ep0 step580/46784 loss=0.6107 lm=0.3194 name=0.2913 name_acc=0.899 tok/s=63,502
ep0 step600/46784 loss=0.3953 lm=0.2628 name=0.1326 name_acc=0.980 tok/s=63,626
ep0 step620/46784 loss=0.8660 lm=0.3430 name=0.5230 name_acc=0.824 tok/s=63,742
